Company_Names,Jobs,Salery,Location,Industry,About,Review,Rating
vivo,5,13.1k, Noida ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Noida +415 other locations,4.9k,4.1
KEC International,16,13.5k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +313 other locations,4.9k,4.0
Ecom Express,--,9.4k, Gurugram ,Logistics,Logistics | Gurugram +778 other locations,4.8k,4.0
Amdocs,15,37.3k, Pune ,Software Product,Software Product | Pune +24 other locations,4.8k,3.6
ITC Infotech,94,29.8k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +68 other locations,4.8k,3.8
JBM Group,66,14.1k, Gurugram ,Auto Components,Auto Components | Gurugram +118 other locations,4.8k,3.9
Varun Beverages,62,11.9k, New Delhi ,Beverage,Beverage | New Delhi +383 other locations,4.8k,4.0
Eviden,1,27.7k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +39 other locations,4.8k,3.6
Nagarro,332,32.8k, Gurugram ,IT Services & Consulting,IT Services & Consulting | Gurugram +49 other locations,4.7k,3.9
Bosch,--,21k, Bengaluru ,Auto Components,Auto Components | Bengaluru +132 other locations,4.6k,4.1
Randstad,6,16.8k, Hyderabad ,Recruitment,Recruitment | Hyderabad +359 other locations,4.6k,3.7
Utkarsh Small Finance Bank,23,11.4k, Varanasi ,Banking,Banking | Varanasi +410 other locations,4.6k,3.6
EY Global Delivery Services ( EY GDS),9,50.6k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +56 other locations,4.6k,3.5
Hewlett Packard Enterprise,299,27.3k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +104 other locations,4.6k,4.0
Aditya Birla Fashion and Retail,91,13k, Bengaluru ,Fashion & Textile,Fashion & Textile | Bengaluru +293 other locations,4.6k,4.0
Cars24,66,15.5k, Gurugram ,Internet,Internet | Gurugram +171 other locations,4.6k,3.5
Home Credit Finance,88,9.5k, Gurugram ,NBFC,NBFC | Gurugram +138 other locations,4.6k,4.0
L&T Finance,--,11.6k, Mumbai ,NBFC,NBFC | Mumbai +641 other locations,4.5k,3.9
Mahindra Logistics,60,12.9k, Mumbai ,Logistics,Logistics | Mumbai +234 other locations,4.5k,3.7
Havells,24,14.7k, Noida ,Electrical Equipment,Electrical Equipment | Noida +263 other locations,4.5k,3.9
Dell,30,28.9k, Bengaluru ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Bengaluru +118 other locations,4.5k,3.8
Intas Pharmaceuticals,53,17.2k, Ahmedabad ,Pharma,Pharma | Ahmedabad +150 other locations,4.5k,4.1
R1 RCM,222,22k, New Delhi ,BPO,BPO | New Delhi +46 other locations,4.5k,3.8
OPPO,4,11.8k, Greater Noida ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Greater Noida +412 other locations,4.5k,3.9
Tata AIA Life Insurance,750,14.2k, Mumbai ,Insurance,Insurance | Mumbai +448 other locations,4.4k,3.9
Hetero,60,15.3k, Hyderabad ,Pharma,Pharma | Hyderabad +70 other locations,4.4k,3.9
Deutsche Bank,633,36.9k, Pune ,Banking,Banking | Pune +42 other locations,4.4k,3.8
Hyundai Motor India Limited,--,14.1k, Chennai ,Automobile,Automobile | Chennai +287 other locations,4.4k,4.1
